Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
0,10/7/24,Deck Builder Tutorial,"The tutorial hides the deck builder icon, so your just clicking blindly",Maybe the tutorial to move to a different part of the screen,"Couldn't see the ""Deck Builer Icon""",Yes,No,Tigran Manukyan
1,10/8/24,Deck Builder Tutorial,"Once you add 20 Gaurdians any more gaurdians added cannot be removed, so if you fill your 30 alloted slotes with just  gaurdians you wont be able to remove them to add reaction and action cards to complete the tutorial","Remove button to work if you have more than 20 gaurdians, but be blocked if you have 20 gaurdians",Had 26 Gaurdians and Couldn't remove them to finsih the task,yes,yes,Tigran Manukyan
3,10/8/24,Arena,After the opponents health drops down to a certain level their hp points are not visible.,HP points to be a different color,Could not see HP points,Yes,No,Tigran Manukyan
5,10/8/24,Edit Profile,"Name Change does not appear Arena even after restarting the game, appears in main screan but not Arena",New name to apear while in Arena,Old name (default name) appears,Yes,No,Tigran Manukyan
6,10/8/24,Home Page/Settings,There is an (X) button in the settings but it does nothing,Close the settings without saving,Nothing,Yes,No,Tigran Manukyan
0,10/14/24,Arena\Battle Phase,"During an animation during battling, if you select an attacker, sometimes the attacker is selected, but it does not let you attack any character even after the animation has ended. You have to unselect the character by clicking on another character, then reselect for it to work","Either does not let you select while animation is playing, or lets you attack with selected attacker.",Could not attack with selected attacker ,Yes,No,Tigran Manukyan
3,10/15/24,Arena\Main Phase,"For starting second. During th3 opponen's main phase, the option to hire a gaurdian is available. If clicked it bugs out and it automaticly skips your turn every time, automatically draws cards for you then skips the rest of your turn. The attaking AI does not battle, but still hires charecters, and lets the time run out.",Does not let you hire charecter when its not your turn,The game automatilly skips your turn for every future round.,Yes,Yes,Tigran Manukyan
4,10/15/24,Arena\Main Phase,"After clicking on an already purchached gaurdian if a essense card is also clicked to ""flip"" the UI's for both overlap, one should close before the other opens",One of the UI's closes before the other is opend,Both UI's overlapping each other.,Yes,No ,Tigran Manukyan
6,10/15/24,Arena\Battle Phase,"For all battles phases, the botton always says ""Turn 5 Battle"" no matter which turn it is.",It says the the correct turn number ,Wrong turn number is desplayed ,Yes,No,Tigran Manukyan
1,10/20/24,Arena\Main Phase,"""Weed strangler"" ability does not activate when only selecting 1 opponent. Even tho it says select ""Up to 2"" gaurdians, when 1 is slected no animation plays,  and selected gaurdian is not effected.",The ability works for selecting 1 gaurdian.,"No animation plays, and selected oponent is not effected.",Yes,No,Tigran Manukyan
2,10/20/24,Arena\Specian Abilities,"For guardians with special abilites, cool down does not work. But instead can be used every turn.",Gaurdians with limitations cannot use special ablities while in cooldown.,Gaurdians that are sposed to have a cooldown have no cooldown.,Yes,No,Tigran Manukyan
3,10/20/24,Arena\Battle,"With the opponent low on health. After all of the opponents Gaurdians are removed, but there is still a gaurdian that can attack, if the end turn is selected the game freezes. The animation to atack the opponent dirrectly shows but no gaurdian can be selected to attack. The timer is also frozen. Happens when opponent is very low on health.",The game ends turn without freezing.,The game freezes.,Yes,Yes,Tigran Manukyan
4,10/20/24,Arena\Draw,"After all cards are drawn, the AI will freeze at its ""draw"" phase since it has no cards to draw, and will not skip it. Had to wait until time runs out.",The AI skips its Draw phase when it has no cards to draw.,"The AI freezes and doesn't take any turns, have to wait until time runs out to continue.",Yes,No,Tigran Manukyan
5,10/20/24,Arean\Defeat Screen,"On defeat screen ""You will get them next time"" played twice overlappnig each other.",Sound only plays once.,Sound played twice.,Yes,No,Tigran Manukyan
6,10/20/24,Arena\Options,Sound modifications does not work.,Options menu to allow sond modifications.,Sound volumes did not change after modificatons.,Yes,No,Tigran Manukyan
7,10/20/24,Arena\Main Phase,After a while AI will no longer hire gaurdians.,AI continious hiring gaurdians and attacking.,"The AI doesn’t hire gaurdians, and if the user doesn’t attack game can go on for ever.",Yes,No,Tigran Manukyan
8,10/20/24,Arena\Draw,"After a lot cards have been drawn, cards get hidden off screen, or even under some of the UI, so they are not clickeble, or purchasable. Maybe have cards stack some way.","Cards don’t get hidden, and are clickable.",Cards were hidden and were not accessible.,Yes ,No,Tigran Manukyan
1,03/19/2024,Adventure Select Screen,User clicked on the Adventures button from the main menu options.,User is able to click on the icons and buttons present on the screen.,"Nothing happens when user clicks on the Book and House icons in the upper right corner, or on the Deck Builder button in the lower left corner.",Yes,No,Yana Zaynullina
3,03/19/2024,Adventure Select Screen,"User clicked on the Adventures button from the main menu options. Once there, user clicks on one of the level selection bubbles on the map to start the adventure. It opens another sliding screen from the right.",User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Play button to start the adventure.,Yes,Yes,Yana Zaynullina
4,03/19/2024,Main Page | Settings,User clicked on the Settings button from the main menu. It opened a new pop-up screen in the middle of the screen with settings.,User is able to close the window by clicking on the X button.,Nothing happens when user clicks on the X button.,Yes,No,Yana Zaynullina
1,03/18/2024,Edit Profile Page,"""Player Frame"" button doesn't work","Clicking ""Player Frame"" leads to player frames",Nothing happens,yes,no,Rishabh Chadha
2,03/18/2024,Edit Profile Page,"""Player Title"" button doesn't work","Clicking ""Player Title"" leads to player titles",Nothing happens,yes,no,Rishabh Chadha
