Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
1.0,10/8/24,Deck Builder Tutorial,"Once you add 20 Gaurdians any more gaurdians added cannot be removed, so if you fill your 30 alloted slotes with just  gaurdians you wont be able to remove them to add reaction and action cards to complete the tutorial","Remove button to work if you have more than 20 gaurdians, but be blocked if you have 20 gaurdians",Had 26 Gaurdians and Couldn't remove them to finsih the task,yes,yes,Tigran Manukyan
1.0,10/15/24,Arena\Battle Phase,"After killing the last defender of the opponent, game froze, I had no more moves left, but it would not let me end my battle phase.  Even tho I had used all my attackers, it gave the animation of being able to attack the opponent directly, but would not let me do it. Game was completely frozen. ",Ends battle phase,Game froze,No,Yes,Tigran Manukyan
3.0,10/15/24,Arena\Main Phase,"For starting second. During th3 opponen's main phase, the option to hire a gaurdian is available. If clicked it bugs out and it automaticly skips your turn every time, automatically draws cards for you then skips the rest of your turn. The attaking AI does not battle, but still hires charecters, and lets the time run out.",Does not let you hire charecter when its not your turn,The game automatilly skips your turn for every future round.,Yes,Yes,Tigran Manukyan
5.0,10/15/24,Arena\Battle Phase,"After losing a match game got stuck, no ending screen.",A Defeat screen shows up,Game Froze,No,Yes,Tigran Manukyan
3.0,10/20/24,Arena\Battle,"With the opponent low on health. After all of the opponents Gaurdians are removed, but there is still a gaurdian that can attack, if the end turn is selected the game freezes. The animation to atack the opponent dirrectly shows but no gaurdian can be selected to attack. The timer is also frozen. Happens when opponent is very low on health.",The game ends turn without freezing.,The game freezes.,Yes,Yes,Tigran Manukyan
2.0,03/19/2024,Adventure Select Screen,User clicked on the Adventures button from the main menu options.,User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Back button to return to the main menu.,Yes,Yes,Yana Zaynullina
3.0,03/19/2024,Adventure Select Screen,"User clicked on the Adventures button from the main menu options. Once there, user clicks on one of the level selection bubbles on the map to start the adventure. It opens another sliding screen from the right.",User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Play button to start the adventure.,Yes,Yes,Yana Zaynullina
1.0,03/20/2024,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
1.0,03/16/2024,Arena match,Bug: says match but timer is stucknothing happens,Match startes,The arena page comes up but the timer is stuck,Yes,Yes,Mimi Truong
2.0,03/16/2024,Adventure select,Bug: Play button doesn’t work,start the advencture,nothing happens,Yes,yes,Mimi Truong
3.0,03/16/2024,Adventure select,Bug: back button doesn’t work,Back button goes back to home page,nothing happens now I have to refresh and authenticate everything all over again :(,Yes,Yes,Mimi Truong
4.0,03/16/2024,Arena match,bug: Timer froze at 66,timer continues till player is done with turn,timer froze and now cant do anything,Yes,Yes,Mimi Truong
2.0,03/20/2024,login,can’t login,window closed to authenticate,window close then didn’t log in,yes,yes,Omar Monge
3.0,03/20/2024,login,not connecting to server,connection to server,not connected to server,yes,yes,Omar Monge
4.0,03/19/2024,Accessing the game,Bug,"I expect that when I click on ""Arena"" I can start playing the game.","When I click ""Arena"" there is a dim screen displayed that does not display any additional ""features"" of the game.",Yes,Yes,Mirna Farahat
5.0,03/19/2024,Trying to play the game,Bug,I expect that the game functions flawlessly without any glitches,"When I clicked on ""Arena"" there was a sudden glitch that showed the AI player repeatedly putting down the same card in the same spot",No,Yes,Mirna Farahat
4.0,03/18/2024,Adventure Select,Home icon on top right does nothing,To go back to main menu,Nothing happened,Yes,Yes,Artim Trofimenko
0.0,03/19/2024,Gameplay Tutorial,"Bug: After clicking the cards when it was not my turn, a black overlay appeared and did not close so I was unable to click the draw card button",I expected the draw button to be clickable when I was required to click it,A black overlay appeared after clicking on cards and their options when it was not my turn and I was unable to click the draw button to progress the tutorial,Yes,Yes,Katrina Ortiz
